"zipcode","percentSingleFemHHWithKids","percentBlackHH","percentPoorHH","percentTTUnder15Min","totalIndividuals","perCapitaIncome"
"00680",12.5910769537878,4.60624812855574,46.5,32.3317130652526,58140,11628.3207851713
"00682",15.0772509323388,5.18557982596342,45.8,30.9936802474116,32615,15400.2814828614
"00683",8.76949740034662,2.20970537261698,42.3,22.6753670473083,33772,12883.947417145
"00685",11.2096214632642,2.07385706576208,50.9,30.3994259746472,42831,9411.68794688458
"00687",12.1581196581197,2.63888888888889,50.4,16.9877163595757,32610,9248.46889952153
"00688",10.1101591187271,1.88494492044064,56.1,12.0496894409938,13543,8471.67782336428
"00690",17.7067478437341,4.00811770674784,42.7,29.3687707641196,6255,12355.8741927768
"00692",12.5440897169214,9.92131681287872,45.3,16.8889386977474,37511,12769.7262351215
"00693",10.835391870649,3.46957107567932,47.4,18.2359614293817,61038,11661.0323909004
"00694",0,0,100,0,328,5603.84057971014
"00698",8.89878613221553,3.22242598899659,50.6,35.0146693748589,41782,9222.76257318448
"00703",11.7777777777778,2.41111111111111,49.5,12.0941683335898,28605,10846.7161016949
"00704",19.2214111922141,6.2217587765033,53.6,29.2191435768262,8577,9720.90409501861
"00705",12.725817516579,7.32906471529842,45.4,32.9755614266843,25598,12380.2084090776
"00707",8.46842487297363,23.3486571497701,50.1,41.3203883495146,12225,11798.4258498319
"00714",15.6031746031746,22.6984126984127,47.7,33.4553775743707,19566,11558.381411523
"00715",10.8695652173913,18.8405797101449,64.6,18.5370741482966,3656,16370.9920983319
"00716",14.8939793919782,6.83811632461892,42,37.89630307886,33779,16701.883973017
"00717",16.2234416772196,5.50161812297735,54.3,44.5381984036488,18457,13567.5650900701
"00718",12.2448979591837,4.54170107349298,47.6,14.0317286652079,26606,12581.5025233482
"00719",8.87192940615311,3.42237061769616,49.5,11.5444839857651,30990,10576.6466548197
"00720",14.8055021446532,3.54977074397279,55.8,26.7565803785077,23129,8390.23014440433
"00723",7.97124101281651,14.9265395436074,51.6,23.816755251835,19277,10576.4796373016
"00725",14.3311999485415,8.39738847972212,39.2,14.9486622750524,89374,16485.9361683745
"00727",10.6892701248604,5.88772713430109,28,16.0238728120768,58382,20943.73542992
"00728",12.9203932293592,4.19099711730357,47.1,22.8827215756491,44908,11699.5818086432
"00729",12.4840995820462,16.748440244715,36.1,15.1023158926602,53750,14594.8398119035
"00730",14.6192583549519,6.68396154433084,47.2,25.1178082191781,35742,15327.8860653202
"00731",11.1844908393694,3.89859394972305,49.6,13.3404482390608,15524,10556.2104152681
"00735",10.7087996488918,6.07856045644064,37.7,16.7669584245077,13730,13333.8869257951
"00736",10.7606572446283,4.14799494427209,36.1,24.3853452455156,51532,16539.4190130539
"00738",14.0098969741218,11.3003975014196,37.3,32.1866117808488,34922,15971.2561296767
"00739",12.5908790482485,3.7508261731659,35.4,20.6808440487966,39678,15040.4733727811
"00740",37.2881355932203,12.3728813559322,67.5,25.3229974160207,2071,8639.73886328725
"00741",14.0146878824969,16.2178702570379,39,15.5355682747343,4971,12732.3172158916
"00745",12.0286200222861,15.5650694973902,35,12.0641081825581,55062,14258.9715926179
"00751",12.1127445024906,7.96987000364476,55.2,30.6231563421829,23129,11509.2915891576
"00754",10.6879513492968,5.89889775750665,45,17.5609312477264,40828,13359.4024962701
"00757",15.3875671527245,8.53159375799437,45.3,29.7192930343086,23263,13814.385696211
"00765",8.00582241630276,8.69723435225619,37.8,52.2907337237341,9098,10560.959833795
"00766",12.316384180791,3.61581920903955,51.1,27.0307906544948,26488,10740.0911392405
"00767",12.3061446894124,10.3110067901752,48.2,17.6775531363401,38019,10806.2484628725
"00769",13.9062382421552,7.06599443148469,46.6,26.3934112239035,40248,12563.0668835591
"00771",14.5469940728196,5.80016934801016,45.5,24.1555783009212,38394,12158.0272557851
"00772",13.7676886792453,42.4823113207547,50.8,14.5525017618041,23105,9500.86111472002
"00773",9.95336636549111,11.7458466919266,40.1,21.7161948303148,20068,14897.5537343436
"00775",15.4347826086957,7.82608695652174,44,78.2771535580524,1786,8152.73333333333
"00777",13.5065341576023,3.83441583848501,41.1,17.1576363317552,40684,12620.8440594059
"00778",10.2976442375511,11.0946536888137,31.3,14.8616201187919,45429,19102.4074328975
"00780",7.97474275023386,3.83536014967259,37.3,20.5834683954619,13800,18741.7650504393
"00782",12.5658125658126,2.61495261495261,56.5,17.017499365965,19304,8847.96313506815
"00783",9.81447124304267,0.890538033395176,50.8,12.4691792884819,36557,10475.9806755306
"00784",12.9952781769657,15.7051940053377,46.2,33.2544490723211,44637,12390.8757362593
"00786",0,0,0,12.2448979591837,357,16225.906779661
"00791",12.9930937609739,6.75992040266885,38.8,22.4678484532499,53417,14917.9311860681
"00794",14.2810278840897,2.79934390377255,58.3,18.2681242807825,30585,9579.94674901522
"00795",13.1277589405668,9.27643784786642,48.8,18.9877372490822,48736,11636.7036621124
